position,id,diggCount,shareCount,commentCount,playCount,collectCount,repostCount,createTime,isAd,music,diversificationLabels,suggestedWords,keywordTags,IsAigc,AIGCDescription,locationCreated,videoDuration,videoDescription,author_id,author_uniqueId,author_nickname,author_signature,author_verified,cover
1,7485144723380915499,2917,33,20,34900,294,0,2025-03-23T19:05:00,False,7485144819825052459,"['Campus Life', 'Daily Life', 'Lifestyle']",[],,False,,JP,68,She’ll be successful asf,6835064307736052742,limmytalks,Limmy 💛,"Duke 💙
I read college app stories
biz: limmy@limmytalks.com
College app help ⬇️",False,https://p19-pu-sign-useast8.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/ogPESIk6gAMWDL0IRFfvJnDBs54TeEES5JdmAg?lk3s=81f88b70&x-expires=1744174800&x-signature=3LJ8xTcYrsTqRug3nZKvxV6VioU%3D&shp=81f88b70&shcp=-
3,7483311229511961898,302,5,9,18600,39,0,2025-03-18T20:29:57,False,6875159585812908034,"['Campus Life', 'Daily Life', 'Lifestyle']","['getting accepted into harvard', 'harvard acceptance', 'essay', 'harvard', 'harvard university', 'college essay', 'harvard college', 'Essay For College', 'people getting accepted into harvard', 'The Essay That Got Me Into College']",,False,,JP,61,Valedictorian btw,6835064307736052742,limmytalks,Limmy 💛,"Duke 💙
I read college app stories
biz: limmy@limmytalks.com
College app help ⬇️",False,https://p19-pu-sign-useast8.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/o0ISgLjIIHAeAQnaCPeAf4aqkCL1sEtGBPRF5W?lk3s=81f88b70&x-expires=1744174800&x-signature=Fx%2FfwdCnCAKNu2%2FnLhygWjlWRo0%3D&shp=81f88b70&shcp=-
5,7481422539818913067,9753,223,45,220200,811,0,2025-03-13T18:20:41,False,7481422454536080170,"['Campus Life', 'Daily Life', 'Lifestyle']","['sheldon gets into harvard', 'people getting accepted into harvard', 'people getting into harvard', 'people reaction to getting into harvard', 'getting into harvard rejected', 'legally blonde getting into harvard', 'paris not getting into harvard', 'Day In The Life Of A Harvard Student', 'How To Get Into Harvard']",,False,,JP,72,Ru KIDDIN me,6835064307736052742,limmytalks,Limmy 💛,"Duke 💙
I read college app stories
biz: limmy@limmytalks.com
College app help ⬇️",False,https://p19-pu-sign-useast8.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/oADToSHjIBm0JEEGjfRWEgeDLoIV1g1wA2AlFn?lk3s=81f88b70&x-expires=1744174800&x-signature=uTrGaZGGxs%2Fp9h62vyCDcD5G%2BnE%3D&shp=81f88b70&shcp=-
4,7482214681952800042,3825,51,35,74800,165,0,2025-03-15T21:34:42,False,6875159585812908034,"['Campus Life', 'Daily Life', 'Lifestyle']","['college', 'collegelife', 'graduating college with low gpa', 'collegeclass', 'College Degree', 'College Reactions', 'College Essays', 'College Decisions Low GPA', 'low gpa', 'College University']",,False,,JP,38,3.2 GPA edition,6835064307736052742,limmytalks,Limmy 💛,"Duke 💙
I read college app stories
biz: limmy@limmytalks.com
College app help ⬇️",False,https://p16-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/oskoES5ovDArKe8EliFzDRnA7ENgYBi1IqfKWE?lk3s=81f88b70&x-expires=1744174800&x-signature=RE6UCBNo%2Bn0lMi5i3sgFXtWEqiU%3D&shp=81f88b70&shcp=-
2,7483316510589488426,992,25,11,22200,200,0,2025-03-18T20:50:21,False,6875159585812908034,"['Campus Life', 'Daily Life', 'Lifestyle']","['essay', 'College Essay', 'Essay For College', 'anthony and stanford', 'App That Can Make You An Essay', 'Stanford', 'video essays', 'App That Writes Your Essay For You', 'stanford university', 'anthony and stanford meeting']","['mia-lee-stanford', 'college-reverse-harem-books', 'stanford', 'cute-college-romance', 'college-writing-bible-2025', 'best-college-romance-movies', 'college-essay-sobriety', 'college-essay-formates', 'college-romance-books-aesthetic', 'college-essay-about-reading-books']",False,,JP,61,Guess why his app wasn’t enough for stanford 🤷‍♂️,6835064307736052742,limmytalks,Limmy 💛,"Duke 💙
I read college app stories
biz: limmy@limmytalks.com
College app help ⬇️",False,https://p19-pu-sign-useast8.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/osMLENFy51S9oLVaDADAIS2eRXngFBDE5hEHfP?lk3s=81f88b70&x-expires=1744174800&x-signature=UcTxmYQbp9fNOOH9LkVv6C34J7Q%3D&shp=81f88b70&shcp=-
7,7480171468828216622,13300,249,64,196300,792,0,2025-03-10T09:26:59,False,6881756530639652866,"['Campus Life', 'Daily Life', 'Lifestyle']","['Providence College', 'College Application', 'sat scores', 'Apps For College Students', 'Sat', 'sat exam', 'college decision', 'graduating college with low gpa', 'College Schedule App', 'College Decisions Low GPA']",,False,,JP,72,College apps demystified pt 2!,6835064307736052742,limmytalks,Limmy 💛,"Duke 💙
I read college app stories
biz: limmy@limmytalks.com
College app help ⬇️",False,https://p16-pu-sign-useast8.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/o0C0YYEwpwAiQi26PMIky5fDmvB2BA4IHAKzQO?lk3s=81f88b70&x-expires=1744174800&x-signature=HdaTClWRpq3q64RfKe8uSyBfjMc%3D&shp=81f88b70&shcp=-
6,7481070315792108831,2014,56,33,28000,256,0,2025-03-12T19:34:11,False,6875159585812908034,"['Campus Life', 'Daily Life', 'Lifestyle']",[],"['rage-bait-nerd-voice-laugh', 'rage-bait-guy', 'rage-bait-nerd-voice', 'rage-bait-example', 'rage-bait-valorant', 'rage-bait-definition', 'bro-fell-for-rage-bait-punisher', 'bro-fell-for-rage-bait', 'who-is-the-rage-bait-guy', 'rage-bait-monkey']",False,,JP,69,Its possible,6835064307736052742,limmytalks,Limmy 💛,"Duke 💙
I read college app stories
biz: limmy@limmytalks.com
College app help ⬇️",False,https://p19-pu-sign-useast8.tiktokcdn-us.com/obj/tos-useast8-p-0068-tx2/ose9FffuDP9rIAILMqJL0IWGCnCOpQjkOSqACI?lk3s=81f88b70&x-expires=1744174800&x-signature=Vrwjd4kCKMfoTVCphsMytb8akcg%3D&shp=81f88b70&shcp=-
8,7479556371780881707,1531,40,18,27700,110,0,2025-03-08T16:39:20,False,7172738625007422214,"['Campus Life', 'Daily Life', 'Lifestyle']","['sat scores', 'sat exam', 'sat score reaction', 'bad grades at school', 'sat score kayla', 'sat scores march 2024', 'lowest gpa', 'worst sat score', 'highest gpa ever', 'what is the highest sat score']",,False,,JP,60,Heres what happens,6835064307736052742,limmytalks,Limmy 💛,"Duke 💙
I read college app stories
biz: limmy@limmytalks.com
College app help ⬇️",False,https://p19-pu-sign-useast8.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/ooKzdBxB7As0AI7YwEiF5upBEfrXuQliBCAnMI?lk3s=81f88b70&x-expires=1744174800&x-signature=JY3Mn3GnlAVHFY5Z5FGMTeBzRpA%3D&shp=81f88b70&shcp=-
0,7486611964098039082,172,7,9,5624,20,0,2025-03-27T17:58:17,False,7172738625007422214,"['Campus Life', 'Daily Life', 'Lifestyle']","['smart', 'smartest student ever', 'lazy smart student']",,False,,KR,97,I think shes pretty smart,6835064307736052742,limmytalks,Limmy 💛,"Duke 💙
I read college app stories
biz: limmy@limmytalks.com
College app help ⬇️",False,https://p19-pu-sign-useast8.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/oche5LKgAfjjgGR7gQkHZBjgfoIIyP8kADCLQL?lk3s=81f88b70&x-expires=1744174800&x-signature=w06THYYPXBOw7QqVClZogA0C7Es%3D&shp=81f88b70&shcp=-
9,7479345017899797802,35500,1727,214,428400,2656,0,2025-03-08T02:59:48,False,6881756530639652866,"['Campus Life', 'Daily Life', 'Lifestyle']","['ut austin', 'sat score', 'college', 'College Applications', 'sat exam', 'sat score reaction', 'Apps For College Students', 'college student', 'collegelife', 'Sat']",,False,,JP,49,College apps demystified!,6835064307736052742,limmytalks,Limmy 💛,"Duke 💙
I read college app stories
biz: limmy@limmytalks.com
College app help ⬇️",False,https://p19-sign.tiktokcdn-us.com/obj/tos-useast5-p-0068-tx/oEHtiP9Cy32QI9Xjd9gDzLAkzeA8gdeXyelQPM?lk3s=81f88b70&x-expires=1744174800&x-signature=zsH1knH3KFMPukfz8lwxi3BQEio%3D&shp=81f88b70&shcp=-
